,0,1,2,3,4,5
0,28.6,17.0,38.0,54.0,5.0,54.0
1,34.0,17.0,33.0,44.0,3.0,44.0
2,38.2,16.0,31.0,46.0,4.0,46.0
3,35.0,16.0,35.0,48.0,5.0,48.0
4,25.8,17.0,35.0,35.0,7.0,35.0
5,29.0,17.0,34.0,41.0,6.0,41.0
6,27.4,17.0,34.0,39.0,5.0,39.0
7,29.4,17.0,36.0,37.0,6.0,37.0
8,31.8,16.0,34.0,37.0,7.0,37.0
9,8.0,14.0,51.0,43.0,17.0,51.0
10,6.0,12.0,43.0,44.0,8.0,44.0
11,7.0,12.0,43.0,35.0,9.0,43.0
12,8.0,11.0,27.0,15.0,3.0,27.0
13,7.0,11.0,23.0,15.0,2.0,23.0
14,6.0,11.0,25.0,27.0,3.0,27.0
15,2.0,11.0,27.0,19.0,3.0,27.0
16,5.0,11.0,26.4,33.0,7.4,33.0
17,6.0,11.0,25.0,26.0,6.0,26.0
18,5.0,11.0,24.0,16.0,3.0,24.0
19,7.0,11.0,24.0,17.0,2.6,24.0
20,7.0,11.0,25.0,34.0,5.0,34.0
21,7.0,11.0,35.0,33.0,10.0,35.0
22,6.0,11.0,36.0,26.0,9.0,36.0
23,6.0,11.0,30.0,34.0,7.0,34.0
24,6.0,11.0,28.0,23.0,3.0,28.0
25,6.0,11.0,28.0,26.0,7.0,28.0
26,5.0,11.0,29.0,37.0,14.0,37.0
27,5.0,11.0,28.0,42.0,6.0,42.0
28,6.0,11.0,29.0,26.0,13.0,29.0
29,7.0,11.0,28.0,41.0,5.0,41.0
30,6.0,11.0,26.0,42.0,7.0,42.0
31,6.0,11.0,29.0,24.0,11.0,29.0
32,8.0,13.0,27.0,39.0,9.0,39.0
33,5.0,15.0,30.0,29.0,10.0,30.0
34,6.0,13.0,28.0,22.0,5.0,28.0
35,6.0,13.0,26.0,21.0,3.0,26.0
36,3.0,13.0,26.0,16.0,2.0,26.0
37,7.0,15.0,34.0,22.0,8.0,34.0
38,6.0,16.0,30.0,26.0,6.0,30.0
39,7.0,15.0,32.0,17.0,7.0,32.0
40,4.0,17.0,31.0,24.0,7.0,31.0
41,6.0,14.0,36.0,27.0,10.0,36.0
42,5.0,12.0,34.0,28.0,11.0,34.0
43,6.0,13.0,36.0,35.0,13.0,36.0
44,6.0,16.0,47.0,43.0,16.0,47.0
45,7.0,18.0,36.0,54.0,10.0,54.0
46,4.0,16.0,29.0,32.0,8.0,32.0
47,5.0,14.0,48.0,32.0,14.0,48.0
48,7.0,15.0,45.0,28.0,13.0,45.0
49,53.6,13.0,80.0,24.0,10.0,80.0
50,6.0,14.0,52.0,20.0,10.0,52.0
51,8.0,15.0,70.0,46.0,20.0,70.0
52,7.0,25.0,40.0,56.0,15.0,56.0
53,8.0,15.0,41.0,113.0,16.0,113.0
54,7.0,14.0,50.0,86.0,15.0,86.0
55,8.0,14.0,43.0,66.0,10.0,66.0
56,6.0,20.0,44.0,53.0,14.0,53.0
57,6.0,13.0,39.0,56.0,8.0,56.0
58,7.0,14.0,46.0,52.0,16.0,52.0
59,6.0,17.0,41.0,39.0,13.0,41.0
60,9.0,21.0,44.0,57.0,11.0,57.0
61,6.0,16.0,54.0,49.0,15.0,54.0
62,5.0,19.0,43.0,88.0,12.0,88.0
63,6.0,16.0,41.0,56.0,10.0,56.0
64,5.0,18.0,38.0,47.0,11.0,47.0
65,4.0,18.0,37.0,44.0,15.0,44.0
66,5.0,15.0,40.0,71.0,16.0,71.0
67,5.0,16.0,34.0,87.0,10.0,87.0
68,6.0,17.0,51.0,58.0,22.0,58.0
69,7.0,17.0,45.0,74.0,18.0,74.0
70,6.0,15.0,48.0,52.0,15.0,52.0
71,5.0,14.0,35.0,53.0,10.0,53.0
72,52.0,28.0,33.0,46.0,9.0,52.0
73,36.0,15.0,34.0,24.0,6.0,36.0
74,30.0,16.0,31.0,88.0,8.0,88.0
75,61.0,18.0,40.0,99.0,13.0,99.0
76,48.0,14.0,51.0,37.0,22.0,51.0
77,48.0,17.0,46.0,42.0,10.0,48.0
78,34.0,14.0,24.8,23.0,5.4,34.0
79,44.0,20.0,21.6,22.0,8.2,44.0
80,27.0,15.0,40.0,33.0,23.0,40.0
81,25.0,13.0,46.0,33.0,24.0,46.0
82,74.0,18.0,93.0,89.0,15.0,93.0
83,54.0,16.0,39.0,43.0,15.0,54.0
84,62.0,16.0,61.0,41.0,11.0,62.0
85,42.0,17.0,39.0,50.0,15.0,50.0
86,61.0,17.0,68.0,50.0,11.0,68.0
87,49.0,15.0,53.0,46.0,9.0,53.0
88,30.0,15.0,32.0,19.0,7.0,32.0
89,18.0,16.0,26.0,17.0,5.0,26.0
90,33.0,16.0,28.0,70.0,9.0,70.0
91,42.0,14.0,45.0,63.0,16.0,63.0
92,24.0,15.0,37.0,53.0,10.0,53.0
93,30.0,14.0,41.0,62.0,12.0,62.0
94,32.0,14.0,38.0,38.0,12.0,38.0
95,14.0,15.0,26.0,17.0,5.0,26.0
96,20.0,16.0,16.6,30.0,4.0,30.0
97,17.0,14.0,17.0,17.0,4.0,17.0
98,21.0,14.0,21.0,31.0,5.0,31.0
99,50.0,15.0,42.0,44.0,11.0,50.0
100,45.0,14.0,23.4,68.0,11.0,68.0
101,34.0,13.0,15.6,66.0,7.8,66.0
102,39.0,14.0,47.0,71.0,14.0,71.0
103,53.0,14.0,33.0,65.0,21.0,65.0
104,52.0,16.0,36.0,63.0,11.0,63.0
105,56.0,15.0,53.0,72.0,13.0,72.0
106,66.0,17.0,56.0,89.0,14.0,89.0
107,77.0,18.0,62.0,104.0,22.0,104.0
108,63.0,18.0,60.0,139.0,16.0,139.0
109,55.0,17.0,57.0,63.0,16.0,63.0
110,62.0,16.0,38.0,127.0,11.0,127.0
111,64.0,14.0,57.0,64.0,16.0,64.0
112,45.0,16.0,61.0,93.0,14.0,93.0
113,44.0,17.0,39.0,57.0,9.0,57.0
114,60.0,15.0,70.0,57.0,18.0,70.0
115,32.0,15.0,11.0,57.0,11.0,57.0
116,53.0,16.0,27.4,78.0,9.0,78.0
117,51.0,15.0,23.8,54.0,10.8,54.0
118,45.0,15.0,1.0,34.0,7.0,45.0
119,50.0,16.0,1.0,68.0,9.0,68.0
120,55.0,17.0,1.0,104.0,15.0,104.0
121,50.0,14.0,1.0,71.0,12.0,71.0
122,59.0,17.0,1.0,102.0,16.0,102.0
123,52.0,14.0,1.0,96.0,11.0,96.0
124,51.0,16.0,1.0,61.0,13.0,61.0
125,50.0,18.0,1.0,44.0,16.0,50.0
126,46.0,14.0,1.0,70.0,15.0,70.0
127,52.0,15.0,1.0,63.0,20.0,63.0
128,60.0,16.0,1.0,54.0,20.0,60.0
129,64.0,16.0,8.0,31.0,17.0,64.0
130,66.0,17.0,50.0,90.0,20.0,90.0
131,84.0,18.0,50.0,95.0,19.0,95.0
132,56.0,17.0,39.0,80.0,14.0,80.0
133,58.0,18.0,38.0,76.0,13.0,76.0
134,67.0,20.0,41.0,93.0,14.0,93.0
135,70.0,17.0,41.0,105.0,14.0,105.0
136,73.0,17.0,46.0,90.0,19.0,90.0
137,52.0,17.0,37.0,124.0,13.0,124.0
138,69.0,18.0,61.0,126.0,18.0,126.0
139,70.0,19.0,49.0,85.0,17.0,85.0
140,53.0,16.0,33.0,71.0,11.0,71.0
141,53.0,19.0,36.0,58.0,13.0,58.0
142,52.0,18.0,36.0,109.0,15.0,109.0
143,61.0,20.0,40.0,96.0,16.0,96.0
144,64.0,16.0,38.0,83.0,17.0,83.0
145,68.0,18.0,46.0,123.0,14.0,123.0
146,73.0,20.0,44.0,118.0,18.0,118.0
147,55.0,20.0,33.0,72.0,13.0,72.0
148,55.0,18.0,34.0,40.0,10.0,55.0
149,52.0,22.0,40.0,37.0,15.0,52.0
150,37.0,21.0,31.0,31.0,15.0,37.0
151,23.0,15.0,29.0,24.0,7.0,29.0
152,50.0,18.0,43.0,73.0,10.0,73.0
153,59.0,20.0,43.0,85.0,11.0,85.0
154,61.0,16.0,41.0,87.0,14.0,87.0
155,60.0,17.0,45.0,76.0,16.0,76.0
156,36.0,16.0,37.0,76.0,15.0,76.0
157,42.0,22.0,36.0,43.0,14.0,43.0
158,44.0,24.0,32.0,32.0,16.0,44.0
159,45.0,22.0,32.0,54.0,16.0,54.0
160,53.0,20.0,38.0,82.0,16.0,82.0
161,58.0,17.0,41.0,67.0,15.0,67.0
162,45.0,17.0,33.0,60.0,10.0,60.0
163,60.0,18.0,46.0,90.0,17.0,90.0
164,48.0,17.0,34.0,61.0,14.0,61.0
165,54.0,20.0,35.0,62.0,13.0,62.0
166,51.0,20.0,38.0,29.0,15.0,51.0
167,44.0,21.0,31.0,65.0,16.0,65.0
168,50.0,16.0,38.0,61.0,14.0,61.0
